epoch,accuracy,loss,val_accuracy,val_loss
0,0.6431266665458679,0.2878386974334717,0.7714748978614807,0.7158136367797852
1,0.8253369331359863,0.10958019644021988,0.7990275621414185,0.7274131178855896
2,0.8754717111587524,0.07980559766292572,0.8492706418037415,0.5552418828010559
3,0.8991913795471191,0.06753194332122803,0.8881685733795166,0.2768286168575287
4,0.9196765422821045,0.05253656208515167,0.9319286942481995,0.22022050619125366
5,0.9256064891815186,0.05081523582339287,0.8865478038787842,0.36960741877555847
6,0.9304582476615906,0.04530572146177292,0.8914100527763367,0.5116752982139587
7,0.9390835762023926,0.043049320578575134,0.8865478038787842,0.3956637382507324
8,0.9633423089981079,0.02678992785513401,0.876823365688324,0.47806334495544434
9,0.955795168876648,0.02975310944020748,0.9222041964530945,0.2653127908706665
10,0.9725067615509033,0.015001325868070126,0.9384116530418396,0.23253439366817474
11,0.9719676375389099,0.02061345987021923,0.9157212376594543,0.26293253898620605
12,0.96064692735672,0.026986055076122284,0.9043760299682617,0.38396501541137695
13,0.9530997276306152,0.03619828075170517,0.940032422542572,0.2543340027332306
14,0.9649595618247986,0.029392143711447716,0.9416531324386597,0.24706034362316132
15,0.9725067615509033,0.01780504547059536,0.9416531324386597,0.22271206974983215
16,0.9725067615509033,0.020699558779597282,0.8978930115699768,0.6275234818458557
17,0.9687331318855286,0.026302993297576904,0.9465153813362122,0.18356990814208984
18,0.9714285731315613,0.017745358869433403,0.917341947555542,0.2533220052719116
19,0.9762803316116333,0.01432443130761385,0.9335494041442871,0.2543032169342041
20,0.987601101398468,0.008996102958917618,0.9481361508369446,0.19976533949375153
21,0.9838274717330933,0.012488707900047302,0.936790943145752,0.2529228925704956
22,0.9784366488456726,0.01575350947678089,0.940032422542572,0.17457956075668335
23,0.9805929660797119,0.01449053455144167,0.936790943145752,0.22864943742752075
24,0.9832884073257446,0.012792838737368584,0.9513776302337646,0.2390393614768982
25,0.9768193960189819,0.022583656013011932,0.9416531324386597,0.26912182569503784
26,0.9843665957450867,0.012232030741870403,0.9481361508369446,0.2186424732208252
27,0.9843665957450867,0.012690747156739235,0.9384116530418396,0.308224081993103
28,0.9676550030708313,0.02630271576344967,0.9416531324386597,0.275213360786438
29,0.9671158790588379,0.026851098984479904,0.9335494041442871,0.3012188971042633
30,0.96442049741745,0.03831300139427185,0.9124797582626343,0.4725359082221985
31,0.9601078033447266,0.038335464894771576,0.9059967398643494,2.8105380535125732
32,0.9687331318855286,0.029710549861192703,0.940032422542572,0.22107809782028198
33,0.9768193960189819,0.017201215028762817,0.9254456758499146,0.44195130467414856
34,0.9811320900917053,0.015786275267601013,0.9335494041442871,0.35722842812538147
35,0.9698113203048706,0.023294735699892044,0.9238249659538269,0.433853417634964
36,0.9881401658058167,0.008033827878534794,0.936790943145752,0.33938518166542053
37,0.982749342918396,0.011658284813165665,0.940032422542572,0.32283732295036316
38,0.9881401658058167,0.007555557414889336,0.9432739019393921,0.29491540789604187
39,0.9897574186325073,0.009155778214335442,0.9497568607330322,0.3621566891670227
40,0.990296483039856,0.007214786950498819,0.9319286942481995,0.3555200695991516
41,0.986522912979126,0.010486836545169353,0.9481361508369446,0.24204136431217194
42,0.9956873059272766,0.0032323638442903757,0.9335494041442871,0.3093653917312622
