accuracy,loss,val_accuracy,val_loss
0.6361185908317566,1.3582206964492798,0.8184764981269836,0.5318340063095093
0.8253369331359863,0.4584963619709015,0.8492706418037415,0.4448929727077484
0.8830188512802124,0.31307193636894226,0.8752025961875916,0.3741213381290436
0.9035040140151978,0.24875052273273468,0.9092382788658142,0.3264540433883667
0.9261455535888672,0.2102607786655426,0.9027552604675293,0.36277252435684204
0.9277628064155579,0.22357618808746338,0.9027552604675293,0.4176255166530609
0.9407008290290833,0.19400298595428467,0.8784440755844116,0.49429282546043396
0.9326145648956299,0.1920480877161026,0.9189627170562744,0.2217574566602707
0.9482479691505432,0.1376829445362091,0.9497568607330322,0.17319811880588531
0.9714285731315613,0.0878259688615799,0.927066445350647,0.24360938370227814
