epoch,accuracy,loss,val_accuracy,val_loss
0,0.5525606274604797,1.9268754720687866,0.664505660533905,0.7478275895118713
1,0.7929919362068176,0.5280550122261047,0.8444084525108337,0.4790825843811035
2,0.8447439074516296,0.39702966809272766,0.8978930115699768,0.31635037064552307
3,0.9024258852005005,0.26933708786964417,0.9238249659538269,0.2417042851448059
4,0.9169811606407166,0.20739737153053284,0.9059967398643494,0.2896061837673187
5,0.9407008290290833,0.15221846103668213,0.8946515321731567,0.2776917815208435
6,0.9423180818557739,0.15601235628128052,0.8962723016738892,0.3087438941001892
7,0.9423180818557739,0.1693434864282608,0.8525121808052063,0.6544597148895264
8,0.9466307163238525,0.1503617912530899,0.9141004681587219,0.3334922194480896
9,0.9757412672042847,0.07081254571676254,0.936790943145752,0.22441701591014862
0,0.5654986500740051,1.6560395956039429,0.7682333588600159,0.8291438221931458
